pts, length, steps, init_time, run_time, stacks, stack_items, error_items
120, 235, 119, 0.281034, 0.096447, 7, 51, 9
296, 1330, 56, 2.276719, 0.426439, 7, 30, 4
290, 1598, 81, 2.596351, 0.161746, 7, 25, 8
19, 23, 19, 0.010263, 0.002605, 6, 10, 2
160, 409, 167, 0.483888, 0.006778, 7, 92, 9
162, 252, 10000, 0.146146, 0.147393, 7, 3387, 11
26, 30, 24, 0.022624, 0.002747, 7, 12, 4
121, 219, 125, 0.276862, 0.073341, 7, 30, 9
305, 1707, 10000, 3.104951, 0.310093, 7, 3456, 7
226, 1140, 1462, 1.856617, 0.483843, 7, 234, 5
274, 1601, 193, 2.738308, 0.83008, 7, 66, 7
38, 51, 41, 0.0218, 0.001206, 7, 24, 5
115, 231, 21, 0.234933, 0.00024, 6, 9, 1
155, 266, 145, 0.24974, 0.032466, 7, 56, 9
256, 1373, 6, 2.284339, 0.00014, 2, 1, 0
158, 512, 183, 0.780975, 0.006369, 7, 57, 7
42, 49, 46, 0.01737, 0.119662, 7, 25, 10
201, 813, 10000, 1.191428, 0.077861, 6, 3405, 1
177, 523, 910, 0.77487, 0.206822, 7, 239, 114
109, 166, 54, 0.09346, 0.153963, 7, 22, 1
220, 845, 279, 1.246072, 0.332371, 7, 98, 4
54, 90, 62, 0.063805, 0.008195, 7, 31, 4
43, 47, 10000, 0.013739, 0.168067, 6, 2522, 2
304, 1665, 1147, 2.631695, 0.288252, 7, 353, 2
68, 109, 520, 0.06414, 0.024193, 7, 113, 94
157, 326, 249, 0.367913, 0.143926, 7, 60, 8
300, 1151, 1068, 1.68887, 0.343316, 7, 251, 10
118, 257, 322, 0.248064, 0.156499, 7, 52, 9
291, 1354, 868, 2.128392, 0.954211, 7, 231, 10
153, 294, 184, 0.286891, 0.048695, 7, 58, 4
66, 89, 18, 0.03623, 0.00028, 7, 11, 3
189, 429, 10000, 0.488895, 0.242457, 7, 73, 1
150, 273, 138, 0.236045, 0.068407, 7, 48, 3
159, 332, 10000, 0.324169, 0.184929, 7, 3396, 2
286, 1705, 783, 2.831778, 0.726276, 7, 220, 7
251, 1177, 10000, 1.821024, 5.082641, 7, 3001, 83
235, 930, 10000, 1.461835, 0.550922, 7, 2565, 5
117, 283, 38, 0.391858, 0.000552, 7, 16, 2
182, 525, 950, 0.687713, 6.176811, 7, 170, 5
16, 20, 18, 0.007111, 0.000261, 6, 11, 4
235, 616, 949, 0.755146, 0.338412, 7, 177, 10
42, 62, 56, 0.028574, 0.00078, 7, 26, 2
65, 94, 83, 0.055217, 0.052092, 7, 33, 5
222, 671, 10000, 0.96248, 0.274173, 7, 146, 4
130, 288, 517, 0.372772, 0.077616, 7, 101, 62
216, 559, 50, 0.651186, 0.000735, 7, 22, 5
156, 371, 201, 0.449839, 0.07518, 7, 57, 7
165, 426, 2628, 0.54844, 0.386144, 7, 566, 461
24, 30, 30, 0.013394, 0.117303, 6, 10, 2
169, 379, 520, 0.38793, 0.243692, 7, 175, 3
