X  |bool_and|
X  |bool_define|
X  |bool_depth|
X  |bool_duplicate|
X  |bool_equal_q|
X  |bool_flush|
X  |bool_from_float|
X  |bool_from_int|
X  |bool_not|
X  |bool_or|
X  |bool_pop|
X  |bool_random|
X  |bool_rotate|
X  |bool_shove|
X  |bool_swap|
X  |bool_xor|
X  |bool_yank|
X  |bool_yankdup|



X  |code_atom_q|
X  |code_backbone_points|
X  |code_car|
X  |code_cdr|
X  |code_concatenate|
X  |code_cons|
X  |code_container|
X  |code_contains_q|
X  |code_define|
X  |code_depth|
X  |code_discrepancy|
X  |code_do_count|
X  |code_do_range|
X  |code_do_times|
X  |code_duplicate|
X  |code_equal_q|
X  |code_execute|
X  |code_execute_then_pop|
X  |code_flush|
X  |code_from_bool|
X  |code_from_float|
X  |code_from_int|
X  |code_from_name|
X  |code_gsub|
X  |code_if|
X  |code_instructions|
X  |code_list|
X  |code_member_q|
X  |code_name_lookup|
X  |code_noop|
X  |code_nth_cdr|
X  |code_nth|
X  |code_nth_point|
X  |code_null_q|
X  |code_parses_q|
X  |code_points|
X  |code_pop|
X  |code_position|
X  |code_quote|
-  |code_random|
X  |code_replace_nth_point|
X  |code_rotate|
X  |code_shove|
X  |code_swap|
X  |code_yank|
X  |code_yankdup|


X  |exec_define|
X  |exec_depth|
X  |exec_do_count|
X  |exec_do_range|
X  |exec_do_times|
X  |exec_duplicate|
X  |exec_equal_q|
X  |exec_flush|
X  |exec_if|
X  |exec_k|
X  |exec_pop|
X  |exec_rotate|
X  |exec_s|
X  |exec_shove|
X  |exec_swap|
X  |exec_y|
X  |exec_yank|
X  |exec_yankdup|



X  |float_abs|
X  |float_add|
X  |float_cosine|
X  |float_define|
X  |float_depth|
X  |float_divide|
X  |float_duplicate|
X  |float_equal_q|
X  |float_flush|
X  |float_from_bool|
X  |float_from_int|
X  |float_greater_than_q|
X  |float_if|
X  |float_less_than_q|
X  |float_max|
X  |float_min|
X  |float_modulo|
X  |float_multiply|
X  |float_negative|
X  |float_pop|
X  |float_power|
X  |float_random|
X  |float_rotate|
X  |float_shove|
X  |float_sine|
X  |float_sqrt|
X  |float_subtract|
X  |float_swap|
X  |float_tangent|
X  |float_yank|
X  |float_yankdup|



X  |int_abs|
X  |int_add|
X  |int_define|
X  |int_depth|
X  |int_divide|
X  |int_duplicate|
X  |int_equal_q|
X  |int_flush|
X  |int_from_bool|
X  |int_from_float|
X  |int_greater_than_q|
X  |int_if|
X  |int_less_than_q|
X  |int_max|
X  |int_min|
X  |int_modulo|
X  |int_multiply|
X  |int_negative|
X  |int_pop|
X  |int_power|
X  |int_random|
X  |int_rotate|
X  |int_shove|
X  |int_subtract|
X  |int_swap|
X  |int_yank|
X  |int_yankdup|



X  |name_depth|
X  |name_disable_lookup|
X  |name_duplicate|
X  |name_equal_q|
X  |name_flush|
X  |name_next|
X  |name_pop|
X  |name_random_bound|
X  |name_rotate|
X  |name_shove|
X  |name_swap|
X  |name_unbind|
X  |name_yank|
X  |name_yankdup|
